Basin.Name,Native.Exotic.Status,Equilibrium,Opportunistic,Periodic,Country,Ecoregion,Median.Longitude,Median.Latitude,RBA,MAT,TS,GDP,CSI,NSR,PRD,SRD
Albany,Native,0.18109488,0.242592242,0.576312878,Canada,Nearctic,-86.72930203,50.77158734,135345.6265,-0.417980016,1333.696559,0.032603935,99.328922,36,0.39,0.846153846
Albegna,Native,0.050313924,0.172741727,0.776944349,Italy,Palearctic,11.41082717,42.61148416,737.1617341,14.12588188,622.1403031,9.656529903,99.30139872,5,0.38,0.5
Albegna,Non-native,0.102714149,0.149281468,0.748004383,Italy,Palearctic,11.41082717,42.61148416,737.1617341,14.12588188,622.1403031,9.656529903,99.30139872,5,0.38,0.5
Albert.lake,Native,0.280167306,0.226140178,0.493692515,United States,Nearctic,-120.4260678,42.58614378,2323.223207,7.179666621,701.754033,0.170313228,99.43470483,2,0.36,0.25
Albert.lake,Non-native,0.189468891,0.113202637,0.697328471,United States,Nearctic,-120.4260678,42.58614378,2323.223207,7.179666621,701.754033,0.170313228,99.43470483,2,0.36,0.25
Aldoma,Native,0.313024644,0.138659344,0.548316013,Russia,Palearctic,138.2746956,57.17358309,2164.776399,-6.604662844,1431.898405,0.002053567,99.99057869,13,0.62,0.596774194
Alemeda.creek,Native,0.16798311,0.266373207,0.565643683,United States,Nearctic,-121.7645983,37.56856697,1898.537136,14.77946928,530.4127721,124.9055939,85.33552566,19,0.67,0.179104478
Alemeda.creek,Non-native,0.154232614,0.219157717,0.626609669,United States,Nearctic,-121.7645983,37.56856697,1898.537136,14.77946928,530.4127721,124.9055939,85.33552566,19,0.67,0.179104478
Alfios,Native,0.16543246,0.316087025,0.518480514,Greece,Palearctic,21.95637658,37.66021742,3437.187744,13.09894719,634.8301349,5.587246299,95.70972002,9,0.33,0.424242424
Alfios,Non-native,0.178414362,0.099955549,0.721630089,Greece,Palearctic,21.95637658,37.66021742,3437.187744,13.09894719,634.8301349,5.587246299,95.70972002,9,0.33,0.424242424
Alfta,Native,0.288833184,0,0.711166816,Iceland,Palearctic,-22.05544022,64.67438192,158.3057991,3.415583526,452.4284709,1.592236519,99.98019055,3,0.24,0.375
Aliakmon,Native,0.13378639,0.256656421,0.609557189,Greece,Palearctic,21.53765139,40.26802572,6614.686281,11.21595293,716.8269964,8.308555245,93.36134278,38,0.26,0.5
Aliakmon,Non-native,0.183120088,0.176016412,0.640863499,Greece,Palearctic,21.53765139,40.26802572,6614.686281,11.21595293,716.8269964,8.308555245,93.36134278,38,0.26,0.5
Alice,Native,0.031087622,0.396244229,0.572668149,Australia,Australasia,146.5520255,-19.32156723,305.9705214,23.1378417,330.4871288,3.642726481,99.21874268,26,0.65,0.153846154
Allahein.River,Native,0.059154813,0.350856385,0.589988802,Senegal,Afrotropic,-16.63884354,13.16835157,527.8300595,26.44783465,128.6073339,1.219986513,99.89544119,11,0.74,0.445945946
Alligator.creek,Native,0.060874058,0.555492822,0.38363312,Australia,Australasia,146.9700844,-19.38069712,262.3445904,23.27622324,316.4668571,2.832556188,99.47112295,5,0.72,0.138888889
Allika,Native,0.107494773,0.129556385,0.762948842,Estonia,Palearctic,23.03787797,58.46946796,99.59996882,6.512592576,776.32323,0.286673144,99.96995722,6,0.33,0.272727273
Alsea,Native,0.331286204,0.162940027,0.50577377,United States,Nearctic,-123.7375202,44.37530115,1164.405711,10.00229628,427.2678433,16.03758836,99.96382161,15,0.4,0.85
Alsea,Non-native,0.161224705,0.156445782,0.682329513,United States,Nearctic,-123.7375202,44.37530115,1164.405711,10.00229628,427.2678433,16.03758836,99.96382161,15,0.4,0.85
Alsek,Native,0.250859998,0.077918205,0.671221797,Canada,Nearctic,-137.5950445,60.3245637,28645.90831,-3.15992872,918.6458389,0.010745534,99.99825427,26,0.59,0.966101695
Alsek,Non-native,0.138785864,0.016844653,0.844369483,Canada,Nearctic,-137.5950445,60.3245637,28645.90831,-3.15992872,918.6458389,0.010745534,99.99825427,26,0.59,0.966101695
Altaelva,Native,0.259908198,0.118917614,0.621174188,Norway,Palearctic,23.18330526,69.24965182,7378.98011,-2.29559796,926.263501,0.159988791,97.44165968,7,0.45,0.777777778
Altaelva,Non-native,0.599142002,0,0.400857998,Norway,Palearctic,23.18330526,69.24965182,7378.98011,-2.29559796,926.263501,0.159988791,97.44165968,7,0.45,0.777777778
Altamaha,Native,0.221785928,0.325017211,0.453196862,United States,Nearctic,-83.18008768,32.78055863,37484.57995,17.66189894,705.0121641,19.60135007,95.99329488,96,0.21,0.619047619
Altamaha,Non-native,0.126712945,0.220670688,0.652616367,United States,Nearctic,-83.18008768,32.78055863,37484.57995,17.66189894,705.0121641,19.60135007,95.99329488,96,0.21,0.619047619
Altja,Native,0.151347526,0.217885951,0.630766522,Estonia,Palearctic,26.05757574,59.53381239,76.94543221,5.18087234,815.9003414,0.60365326,99.8731,10,0.35,0.285714286
Amahlongwa,Native,0.070052536,0.536870798,0.393076665,South Africa,Afrotropic,30.71384295,-30.22048361,104.647937,20.239781,261.3787113,4.65536809,99.88069411,6,0.69,0.072463768
