"","Life.span","Fecundity","Parental.care","Age.at.maturation","Offspring.size","Max.total.length","Trophic.level","K.value"
"Altigena_tonkinensis",7.6165298000887,12223.8540814447,1,2.36292931246395,1.7482133038092,24.69000053,2.24000001,0.389999986
"Altigena_sinkleri",5.82323315275013,7064.81908333978,1,2.210016047502,1.80876589800239,8.430000305,2.569999933,1.049999952
"Altigena_lippa",8.488339779,16029.66768,1,2.48866825,1.727612632,34.65000153,2.140000105,0.280000001
"Altigena_discognathoides",8.85470104,18084.2525,1,2.549396817,1.768450094,36.5,2.150000095,0.300000012
"Altigena_elegans",4.88216918922691,4928.63105948114,1,2.11227474600942,1.84644532679847,4.269999981,2.769999981,1.970000029
"Ageneiogarra_imberba",8,7723.811713,1,3,1.627249558,42.09000015,2.079999924,0.239999995
"Ageneiogarra_theunensis",6.706908114,8751.323158,1,2.287397897,1.647431862,36.59999847,2.119999886,0.270000011
"Acapoeta_tanganicae",10.59236328,30630.61598,1,3.019632617,1.883804592,61,2,0.170000002
"Aaptosyax_grypus",6.90179581,8926.464305,1,2.045109052,1.617007445,158.6000061,4.5,0.07
"Rhodeus_uyekii",3.325841361,334.4921676,1,1.128391924,1.891292374,6.199999809,2.690000057,0.680000007
"Rhodeus_spinalis",3.305727599,331.2381486,1,1.135097301,1.924601193,10,2.559999943,0.439999998
"Rhodeus_rheinardti",3.367260757,330.1455695,1,1.161756517,1.944209483,8.18999958,2.609999895,0.529999971
"Rhodeus_pseudosericeus",3.368669873,319.4889666,1,1.158749042,1.929508609,7.409999847,2.640000105,0.579999983
"Rhodeus_laoensis",3.341788705,334.6499757,1,1.152335835,1.931742509,5.71999979,2.710000038,0.74000001
"Phoxinus_ujmonensis",4.51387705467258,1483,1,1.74630970854783,1.57634365065139,11.60000038,2.99000001,0.469999999
"Phoxinus_strymonicus",4.06279924785248,1494.97596215885,1,1.68728516954841,1.59465276165041,5.820000172,3,0.889999986
"Phoxinus_kumgangensis",5.091332179,1837.950263,1,1.608051652,1.447436642,8,2.99000001,0.670000017
"Phoxinus_issykkulensis",3.74596159428187,1263.06846803066,1,1.6478241609118,1.60444316196367,4.5,3,1.129999995
"Phoxinus_grumi",2.9736657882667,321,1,1.56463760418917,1.61285830312271,8.569999695,2.99000001,0.620000005
"Phoxinus_colchicus",5.028839637,1793.236816,1,1.617730696,1.450638298,10,2.99000001,0.540000021
"Phoxinus_brachyurus",3.793106358,842.4513847,1,1.281200059,1.355339993,8.4,2.99000001,0.639999986
"Pseudophoxinus_drusensis",5.649733873,7717.24206700001,1,2.037674749,1.60697649,10,2.720000029,0.540000021
